type,superclass,class,npmapSymbol,hfcSymbol,iconSource,makiIcon,optionalTags,description,howToMap,altNames,oldAltNames,iDSearchTerms,tags,point,vertex,line,polygon,JSON_Fields,layerIndex,inCarto,inEditor,inGuide,defaultOrder
Lodging,Building,Residential,lodging,,npmap-symbol-library,lodging-black,,,,"[""guest house"", ""guesthouse"", ""hostel"", ""hotel"", ""inn"", ""motel"", ""public cabin"", ""public use cabin"", ""puc"", ""resort""]","[""guest house"", ""guesthouse"", ""hostel"", ""hotel"", ""inn"", ""motel"", ""public cabin"", ""public use cabin"", ""puc"", ""resort""]","{lodging,hotel,motel,resort}","{""tourism"":""hotel""}",x,,,,"{name,nps/unitcode,address,levels,smoking}",70,TRUE,TRUE,TRUE,3
Residential Building,Building,Residential,,,maki,building,,,,"[""park housing"", ""park residence"", ""ranger residence"", ""residence"", ""residential""]","[""park housing"", ""park residence"", ""ranger residence"", ""residence"", ""residential""]","{""residential building"",residential}","{""building"":""residential""}",x,,,,"{name,nps/unitcode,address,levels}",70,TRUE,TRUE,TRUE,
Row House,Building,Residential,,,maki,building,,,,"[""terrace"", ""townhouse""]","[""residential building"", ""terrace"", ""townhouse""]","{""row house"",terrace,townhouse}","{""building"":""terrace""}",x,,,,"{name,nps/unitcode,address,levels}",70,TRUE,TRUE,TRUE,
Static Mobile Home,Building,Residential,,,maki,building,,,,"[""mobile home"", ""static caravan""]","[""mobile home"", ""static caravan""]","{""static mobile home"",""static caravan"",""mobile home""}","{""building"":""static_caravan""}",x,,,,"{name,nps/unitcode,address,levels}",70,TRUE,TRUE,TRUE,
Gazebo,Building,Shelter,shelter,,npmap-symbol-library,shelter-black,,,,"[""alhambra"", ""belvedere"", ""folly"", ""pergola"", ""rotunda""]","[""shelter"", ""alhambra"", ""belvedere"", ""folly"", ""pergola"", ""rotunda""]","{shelter,sanctuary,cover,hide,lean-to,gazebo,picnic}","{""amenity"":""shelter"",""building"":""pavilion"",""pavilion_type"":""gazebo""}",x,,,,"{name,nps/unitcode,operator,address,drinking_water}",30,TRUE,TRUE,TRUE,
Hut,Building,Shelter,shelter,,npmap-symbol-library,shelter-black,,,,"[""palloza"", ""roundhouse"", ""yurt""]","[""shelter"", ""palloza"", ""roundhouse"", ""yurt""]",{hut},"{""building"":""hut""}",x,,,,"{name,nps/unitcode,address,levels}",70,TRUE,TRUE,TRUE,
Pavilion,Building,Shelter,shelter,,npmap-symbol-library,shelter-black,,,,"[""sports pavilion""]","[""shelter"", ""sports pavilion""]","{shelter,sanctuary,cover,hide,lean-to,pavilion,picnic}","{""amenity"":""shelter"",""building"":""pavilion""}",x,,,,"{name,nps/unitcode,operator,address,drinking_water}",30,TRUE,TRUE,TRUE,
Shelter,Building,Shelter,shelter,,npmap-symbol-library,shelter-black,,,,"[""cover"", ""hide"", ""lean-to"", ""picnic shelter"", ""sanctuary"", ""wall tent""]","[""cover"", ""hide"", ""lean-to"", ""picnic shelter"", ""sanctuary"", ""wall tent""]","{shelter,sanctuary,cover,hide,lean-to,picnic}","{""amenity"":""shelter"",""building"":""hut""}",x,,,,"{name,nps/unitcode,operator,address,drinking_water}",30,TRUE,TRUE,TRUE,
Weather Shelter,Building,Shelter,,,,,,,,"[""emergency shelter"", ""emergency shelter cabin"", ""tornado shelter"", ""warming hut"", ""warming tent"", ""warming shelter""]","[""shelter"", ""emergency shelter"", ""emergency shelter cabin"", ""tornado shelter"", ""warming hut"", ""warming tent"", ""warming shelter""]","{""tornado shelter""}","{""amenity"":""shelter""}",x,,,,"{name,nps/unitcode}",70,TRUE,TRUE,TRUE,
Garage,Building,Storage,mechanic,,maki,warehouse,,,,"[""auto shop"", ""boat house"", ""bus barn"", ""maintenance"", ""maintenance barn"", ""maintenance building"", ""maintenance shop"", ""mechanic shop"", ""shop"", ""utility"", ""utility building"", ""workshop""]","[""auto shop"", ""boat house"", ""bus barn"", ""maintenance"", ""maintenance barn"", ""maintenance building"", ""maintenance shop"", ""mechanic shop"", ""shop"", ""utility"", ""utility building"", ""workshop""]",{garage},"{""building"":""garage""}",x,,,,"{name,nps/unitcode,address,levels,capacity}",70,TRUE,TRUE,TRUE,
Shed,Building,Storage,,,maki,building,,,,"[""cache"", ""outbuilding"", ""shack"", ""weatherport""]","[""cache"", ""outbuilding"", ""shack"", ""weatherport""]",{shed},"{""building"":""shed""}",x,,,,"{name,nps/unitcode,address,levels}",70,TRUE,TRUE,TRUE,
Warehouse,Building,Storage,,,maki,warehouse,,,,"[""storage"", ""storage building""]","[""storage"", ""storage building""]","{warehouse,storage}","{""building"":""warehouse""}",x,,,,"{name,nps/unitcode,address,levels}",70,TRUE,TRUE,TRUE,
Battlefield,Historic,Battlefield,,Battle,,,,,,"[""historic battlefield"", ""battle""]","[""historic"", ""historic battlefield"", ""battle""]","{""battlefield""}","{""historic"":""battlefield""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Cannon,Historic,Cannon,,,,,,,,"[""historic cannon"", ""artillery"", ""battering ram"", ""catapult""]","[""historic"", ""historic cannon"", ""artillery"", ""battering ram"", ""catapult""]","{""cannon""}","{""historic"":""cannon""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Battlefield Marker,Historic,Marker,,,,,,,,[],"[""historic"", ""battlefield"", ""marker""]","{""battlefield marker""}","{""historic"":""marker"",""marker_type"":""battlefield""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Historic Marker,Historic,Marker,historic-feature,,,,,,,[],"[""historic"", ""marker""]","{""historic marker""}","{""historic"":""marker""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Memorial,Historic,Monument,statue,,maki,monument,,,,[],"[""historic"", ""historic memorial""]","{memorial,""historic memorial""}","{""historic"":""memorial""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Monument,Historic,Monument,statue,,maki,monument,,,,[],"[""historic"", ""historic monument""]","{monument,""historic monument""}","{""historic"":""monument""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
