type,superclass,class,npmapSymbol,hfcSymbol,iconSource,makiIcon,optionalTags,description,howToMap,altNames,oldAltNames,iDSearchTerms,tags,point,vertex,line,polygon,JSON_Fields,layerIndex,inCarto,inEditor,inGuide,defaultOrder
Grassland,Natural Feature,Plain,,,,,,,,"[""shrubland""]","[""shrubland""]","{grassland,plain,highland,kula,upland}","{""natural"":""grassland""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Plain,Natural Feature,Plain,,,,,,,,"[""highland"", ""kula"", ""meadow"", ""upland""]","[""highland"", ""kula"", ""meadow"", ""upland""]",,"{""natural"":""grassland"",""grassland_type"":""plain""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Prairie,Natural Feature,Plain,,,,,,,,"[""savanna"", ""steppe""]","[""savanna"", ""steppe""]","{prarie,grassland}","{""natural"":""grassland"",""grassland"":""prarie""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Plateau,Natural Feature,Plateau,,,,,,,,"[""mesa"", ""table"", ""tableland""]","[""mesa"", ""table"", ""tableland""]",{plateau},"{""natural"":""landform"",""landform"":""plateau""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Rapids,Natural Feature,Rapids,,,maki,water,,,,"[""riffle"", ""ripple""]","[""riffle"", ""ripple""]","{rapids,riffle,ripple}","{""waterway"":""rapids""}",x,x,,,"{name,nps/unitcode,whitewater,width,rapid_grade}",10,TRUE,TRUE,TRUE,
Ridge,Natural Feature,Ridge,,,,,,,,"[""crest"", ""cuesta"", ""escarpment"", ""hogback"", ""lae"", ""spur""]","[""crest"", ""cuesta"", ""escarpment"", ""hogback"", ""lae"", ""spur""]","{ridge,crest,cuesta,escarpment,hogback,lae,rim,spur}","{""natural"":""ridge""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Arch,Natural Feature,Rock Formation,,,,,,,,"[""bridge"", ""land bridge"", ""natural bridge"", ""sea arch"", ""window""]","[""bridge"", ""land bridge"", ""natural bridge"", ""sea arch"", ""window""]","{arch,""sea arch""}","{""natural"":""arch""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Pillar,Natural Feature,Rock Formation,,,,,,,,"[""chimney"", ""monument"", ""pinnacle"", ""pohaku"", ""rock tower""]","[""chimney"", ""monument"", ""pinnacle"", ""pohaku"", ""rock tower""]",,"{""natural"":""rock"", ""rock_type"":""pillar""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Rock Formation,Natural Feature,Rock Formation,,,,,,,,"[""rock"", ""formation"", ""fin"", ""fold"", ""hoodoo"", ""nipple"", ""slickrock"", ""slide"", ""spire"", ""throne"", ""wall""]","[""rock"", ""formation"", ""fin"", ""fold"", ""hoodoo"", ""nipple"", ""slickrock"", ""slide"", ""spire"", ""throne"", ""wall""]","{rock,formation,""rock formation""}","{""natural"":""rock""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Sea,Natural Feature,Sea,,,maki,water,,,,"[""gulf"", ""ocean""]","[""gulf"", ""ocean""]","{sea,gulf,ocean}","{""place"":""sea""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Spring,Natural Feature,Spring,spring,,npmap-symbol-library,spring-black,,,,"[""seep""]","[""seep""]","{spring,seep}","{""natural"":""spring""}",x,,,,"{name,nps/unitcode,drinking_water}",10,TRUE,TRUE,TRUE,
Strait (Channel),Natural Feature,Strait,,,,,,,,"[""strait"", ""channel"", ""passage"", ""reach"", ""thoroughfare"", ""throughfare""]","[""strait"", ""channel"", ""passage"", ""reach"", ""thoroughfare"", ""throughfare""]","{strait,channel,passage,reach,thoroughfare,throughfare}","{""natural"":""strait""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Stream,Natural Feature,Stream,,,maki,water,,,,"[""beck"", ""branch"", ""brook"", ""burn"", ""course"", ""creek"", ""current"", ""drift"", ""flood"", ""flowline"", ""freshet"", ""race"", ""rill"", ""rindle"", ""rivulet"", ""run"", ""runnel"", ""rush"", ""spate"", ""spritz"", ""surge"", ""tide"", ""torrent"", ""tributary"", ""watercourse""]","[""beck"", ""branch"", ""brook"", ""burn"", ""course"", ""creek"", ""current"", ""drift"", ""flood"", ""flowline"", ""freshet"", ""race"", ""rill"", ""rindle"", ""rivulet"", ""run"", ""runnel"", ""rush"", ""spate"", ""spritz"", ""surge"", ""tide"", ""torrent"", ""tributary"", ""watercourse""]","{beck,branch,brook,burn,course,creek,current,drift,flood,flow,freshet,race,rill,rindle,rivulet,run,runnel,rush,spate,spritz,surge,tide,torrent,tributary,watercourse}","{""waterway"":""stream""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Swamp,Natural Feature,Swamp,,,maki,water,,,,"[""bog"", ""cienega"", ""marais"", ""marsh"", ""mire"", ""pocosin""]","[""bog"", ""cienega"", ""marais"", ""marsh"", ""mire"", ""pocosin""]","{swamp,wetland,bog,cienega,marais,marsh,pocosin}","{""natural"":""wetland"",""wetland"":""swamp""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Fumarole,Natural Feature,Thermal,,,,,,,,"[""steam"", ""vent"", ""volcanic gas""]","[""thermal"",""fumarole"",""steam"",""geological""]",,"{""natural"":""fumarole""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Geyser,Natural Feature,Thermal,,,,,,,,"[""gusher"", ""spout"", ""thermal geyser""]","[""gusher"", ""spout"", ""hot spring"", ""thermal geyser"", ""thermal spring""]","{geyser,gusher,spout,""hot spring"",""thermal spring""}","{""natural"":""geyser""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Hot Spring,Natural Feature,Thermal,,,,,,,,"[""hot"", ""spring"", ""thermal spring""]","[""spring"",""hot"",""water"",""geological""]",,"{""natural"":""hot_spring""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Mud Pot,Natural Feature,Thermal,,,,,,,,"[""mud"", ""mud flow"", ""mudflow"", ""thermal pool""]","[""mud"", ""mud flow"", ""mudflow"", ""fumarole"", ""thermal pool""]",,"{""natural"":""mud""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Canyon,Natural Feature,Valley,,,,,,,,[],"[""canyon""]",,"{""natural"":""canyon""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Valley,Natural Feature,Valley,,,,,,,,"[""barranca"", ""chasm"", ""glen"", ""gorge"", ""gulch"", ""hollow"", ""ravine""]","[""barranca"", ""chasm"", ""glen"", ""gorge"", ""gulch"", ""hollow"", ""ravine""]","{valley,barranca,canyon,chasm,cove,draw,glen,gorge,gulch,gulf,hollow,ravine}","{""natural"":""valley""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Volcano,Natural Feature,Volcano,,,maki,triangle,,,,"[""caldera"", ""cinder cone"", ""composite"", ""composite volcano"", ""crater"", ""shield"", ""shield volcano""]","[""caldera"", ""cinder cone"", ""composite"", ""composite volcano"", ""crater"", ""shield"", ""shield volcano""]","{volcano,crater,caldera}","{""natural"":""volcano""}",x,,,,"{name,nps/unitcode,status,ele,type}",10,TRUE,TRUE,TRUE,
Waterfall,Natural Feature,Waterfall,waterfall,Waterfalls,maki,water,,,,"[""falls"", ""cascade"", ""cataract""]","[""falls"", ""cascade"", ""cataract""]","{waterfall,falls,cascade,cataract}","{""waterway"":""waterfall""}",x,,,,"{name,nps/unitcode}",15,TRUE,TRUE,TRUE,
Wetland,Natural Feature,Wetland,,,maki,wetland,,,,"[""bayou"", ""bogland"", ""fen"", ""fenland"", ""morass"", ""muskeg"", ""quagmire"", ""slough""]","[""bayou"", ""bogland"", ""fen"", ""fenland"", ""morass"", ""muskeg"", ""quagmire"", ""slough""]",{wetland},"{""natural"":""wetland""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Canyon,Natural Line,Valley,,,,,,,,[],"[""canyon""]",,"{""natural"":""canyon""}",,,x,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Parking Lot,Parking,Parking,,,npmap-symbol-library,parking-black,,,,"[""parking"", ""lot"", ""car park"", ""car parking"", ""carpark"", ""vehicle parking""]","[""parking"", ""lot"", ""car park"", ""car parking"", ""carpark"", ""vehicle parking""]","{parking,""car parking"",""vehicle parking"",""parking lot"",""car park""}","{""amenity"":""parking""}",,,,x,"{name,nps/unitcode,operator,address,capacity,maxstay,fee,nps/trailuse}",10,TRUE,TRUE,TRUE,2
Railroad,Railroad,Railroad,,,,,,,,"[""rail"", ""train""]","[""rail"", ""train""]",,"{""railway"":""rail""}",,,x,,"{name,nps/unitcode,operator}",10,TRUE,TRUE,TRUE,
Four-Wheel Drive Road,Road,Four-Wheel Drive,,,npmap-symbol-library,four-wheel-drive-road-black,,,,"[""4wd"", ""4 wheeler"", ""4-wheeler"", ""four wheeler"", ""four-wheeler"", ""high clearance""]","[""4wd"", ""4 wheeler"", ""4-wheeler"", ""four wheeler"", ""four-wheeler"", ""high clearance"", ""road""]","{""four-wheel drive road"",4wd,""4 wheeler"",""4-wheeler"",""four wheeler"",""four-wheeler""}","{""highway"":""road"",""4wd_only"":""*""}",,,x,,"{name,nps/unitcode,operator,surface,width,maxspeed,oneway,lanes,nps/trailuse,nps/structure}",15,TRUE,TRUE,TRUE,
Highway,Road,Highway,,,maki,highway-motorway,,,,"[""freeway"", ""turnpike"", ""motorway"", ""interstate"", ""interstate highway""]","[""freeway"", ""turnpike"", ""motorway"", ""interstate"", ""interstate highway"", ""road""]","{""highway""}","{""highway"":""motorway""}",,,x,,"{name,nps/unitcode,operator,surface,width,maxspeed,oneway,lanes,nps/trailuse,nps/structure}",94,TRUE,TRUE,TRUE,2
Highway Link,Road,Highway,,,maki,highway-motorway-link,,,,"[""freeway ramp"", ""highway ramp"", ""off ramp"", ""on ramp"", ""ramp""]","[""freeway ramp"", ""highway ramp"", ""off ramp"", ""on ramp"", ""ramp""]","{""highway""}","{""highway"":""motorway_link""}",,,x,,"{name,nps/unitcode,operator,surface,width,maxspeed,oneway,nps/trailuse,nps/structure}",94,TRUE,TRUE,TRUE,
Minor Road,Road,Minor,,,maki,highway-unclassified,,"An minor road is a minor public road, typically at the lowest level of the interconnecting network. It is of lower importance than a secondary road and is not a residential street. If a road's classification is unknown, default to the ""Minor Road"" preset.","Add an unclassified road by tracing its centerline from beginning to end and selecting ""Unclassified Road"" from the ""Select feature type"" menu.","[""unclassified"", ""unclassified road""]","[""unclassified"", ""unclassified road"", ""road"", ""street""]","{""unclassified road"",unclassified,road}","{""highway"":""unclassified""}",,,x,,"{name,nps/unitcode,operator,surface,width,maxspeed,oneway,lanes,nps/trailuse,nps/structure}",30,TRUE,TRUE,TRUE,5
Pedestrian Street,Road,Minor,,,maki,highway-footway,,,,"[""pedestrian road""]","[""pedestrian road"", ""road"", ""street""]","{""pedestrian road"",""pedestrian street""}","{""highway"":""pedestrian""}",,,x,,"{name,nps/unitcode,""surface"",""lit"",""width"",""oneway"",""nps/structure"",""access""}",30,TRUE,TRUE,TRUE,
Private Road,Road,Minor,,,maki,highway-road,,,,"[""private"", ""admin"", ""admin road"", ""admin service road"", ""administrative"", ""administrative road"", ""administrative service road""]","[""private"", ""admin"", ""admin road"", ""admin service road"", ""administrative"", ""administrative road"", ""administrative service road"", ""road"", ""street""]","{""private road"",private,road}","{""highway"":""road"",""access"":""private""}",,,x,,"{name,nps/unitcode,operator,surface,width,maxspeed,oneway,lanes,nps/trailuse,nps/structure}",30,TRUE,TRUE,TRUE,9
Residential Road,Road,Minor,,,maki,highway-residential,,A residential road is a road accessing residential areas.,"Add a residential road by tracing its centerline from beginning to end and selecting ""Residential Road"" from the ""Select feature type"" menu.","[""residential"", ""local"", ""local road""]","[""residential"", ""local"", ""local road"", ""road"", ""street""]","{""residential road"",residential,road}","{""highway"":""residential""}",,,x,,"{name,nps/unitcode,operator,surface,width,maxspeed,oneway,lanes,nps/trailuse,nps/structure}",30,TRUE,TRUE,TRUE,6
Road,Road,Minor,,,maki,highway-road,,,,"[""minor road""]","[""minor road"", ""street""]","{""minor road""}","{""highway"":""*""}",,,x,,"{name,nps/unitcode}",30,TRUE,TRUE,TRUE,
Unknown Road,Road,Minor,,,maki,highway-unclassified,,,,"[""road"", ""street""]","[""road"", ""street""]","{""unknown road"",road}","{""highway"":""road""}",,,x,,"{name,nps/unitcode,operator,surface,width,maxspeed,oneway,lanes,nps/trailuse,nps/structure}",30,TRUE,TRUE,TRUE,1
Primary Link,Road,Primary,,,maki,highway-primary-link,,,,"[""primary ramp""]","[""primary ramp""]","{ramp,""on ramp"",""off ramp""}","{""highway"":""primary_link""}",,,x,,"{name,nps/unitcode,operator,surface,width,maxspeed,oneway,nps/trailuse,nps/structure}",53,TRUE,TRUE,TRUE,
Primary Road,Road,Primary,,,maki,highway-primary,,"A primary road is a major highway, normally with at least two lanes.","Add a primary road by tracing its centerline from beginning to end and selecting ""Primary Road"" from the ""Select feature type"" menu.","[""primary"", ""highway"", ""us highway"", ""state highway"", ""state route""]","[""primary"", ""highway"", ""us highway"", ""state highway"", ""state route"", ""road""]","{""primary road"",primary,road,highway,interstate,""interstate highway""}","{""highway"":""primary""}",,,x,,"{name,nps/unitcode,operator,surface,width,maxspeed,oneway,lanes,nps/trailuse,nps/structure}",55,TRUE,TRUE,TRUE,3
Secondary Link,Road,Secondary,,,maki,highway-secondary-link,,,,"[""secondary ramp""]","[""secondary ramp""]","{ramp,""on ramp"",""off ramp""}","{""highway"":""secondary_link""}",,,x,,"{name,nps/unitcode,operator,surface,width,maxspeed,oneway,nps/trailuse,nps/structure}",45,TRUE,TRUE,TRUE,
Secondary Road,Road,Secondary,,,maki,highway-secondary,,"A secondary road is a highway that is not part of a major route but forms a link in the national route network. It usually has two lanes, separated by a centerline.","Add a secondary road by tracing its centerline from beginning to end and selecting ""Secondary Road"" from the ""Select feature type"" menu.","[""secondary"", ""county highway""]","[""secondary"", ""county highway"", ""road""]","{""secondary road"",secondary,road,""us highway"",""state highway"",""county highway""}","{""highway"":""secondary""}",,,x,,"{name,nps/unitcode,operator,surface,width,maxspeed,oneway,lanes,nps/trailuse,nps/structure}",45,TRUE,TRUE,TRUE,4
Access Road,Road,Service,,,maki,highway-service,,"A service road is a road accessing a building, service station, beach, campsite, business park, parking lot, driveway, or other services.","Add a service road by tracing its centerline from beginning to end and selecting ""Service Road"" from the ""Select feature type"" menu.","[""campground road"", ""service"", ""service road""]","[""campground road"", ""service"", ""service road"", ""road"", ""street""]","{""access road"",""service road"",service,road}","{""highway"":""service""}",,,x,,"{name,nps/unitcode,operator,surface,width,maxspeed,oneway,lanes,nps/trailuse,service,nps/structure}",20,TRUE,TRUE,TRUE,7
Parking Aisle,Road,Service,,,maki,highway-service,,,,"[""parking"", ""lot"", ""car park"", ""car parking"", ""carpark"", ""vehicle parking""]","[""parking"", ""lot"", ""car park"", ""car parking"", ""carpark"", ""vehicle parking"", ""marker""]","{""parking aisle""}","{""highway"":""service"",""service"":""parking_aisle""}",,,x,,"{name,nps/unitcode,surface,oneway,nps/trailuse,nps/structure}",20,TRUE,TRUE,TRUE,8
Tertiary Link,Road,Tertiary,,,maki,highway-tertiary-link,,,,"[""tertiary ramp""]","[""tertiary ramp""]","{ramp,""on ramp"",""off ramp""}","{""highway"":""tertiary_link""}",,,x,,"{name,nps/unitcode,operator,surface,width,maxspeed,oneway,nps/trailuse,nps/structure}",35,TRUE,TRUE,TRUE,
Tertiary Road,Road,Tertiary,,,maki,highway-tertiary,,,,"[""tertiary"", ""road""]","[""tertiary"", ""road""]","{""tertiary road"",tertiary,road}","{""highway"":""tertiary""}",,,x,,"{name,nps/unitcode,operator,surface,width,maxspeed,oneway,lanes,nps/trailuse,nps/structure}",35,TRUE,TRUE,TRUE,
Bridge,Road Feature,Bridge,,Bridge,,,,,,"[""aqueduct"", ""overpass"", ""viaduct""]","[""aqueduct"", ""overpass"", ""viaduct""]",{bridge},"{""bridge"":""*""}",x,,,,"{name,nps/unitcode,operator,address}",10,TRUE,TRUE,TRUE,
Traffic Signals,Road Feature,Control,,,maki,circle,,,,"[""stoplight"", ""stop light"", ""traffic light"", ""traffic signal""]","[""stoplight"", ""stop light"", ""traffic light"", ""traffic signal""]","{""traffic signals"",""traffic signal"",""traffic light"",""stop light"",stoplight}","{""highway"":""traffic_signals""}",x,,,,"{name,nps/unitcode,operator,address}",10,TRUE,TRUE,TRUE,
Turning Circle,Road Feature,No-Outlet,,,maki,circle,,,,"[""blind alley"", ""cul-de-sac"", ""dead end street""]","[""blind alley"", ""cul-de-sac"", ""dead end street""]","{""turning circle"",cul-de-sac,""dead end street"",""blind alley""}","{""highway"":""turning_circle""}",x,,,,"{name,nps/unitcode,operator,address}",10,TRUE,TRUE,TRUE,
Tunnel,Road Feature,Tunnel,tunnel,Tunnel,,,,,,"[""covered passageway"", ""covered way""]","[""covered passageway"", ""covered way""]",{tunnel},"{""tunnel"":""*""}",x,,,,"{name,nps/unitcode,operator,address}",10,TRUE,TRUE,TRUE,
Airport,Service,Airport,airport,Airport,npmap-symbol-library,airport-black,,,,"[""aeroway"", ""aerodrome""]","[""aeroway"", ""aerodrome""]","{airport,aeroway,aerodrome}","{""aeroway"":""aerodrome""}",x,,,,"{name,nps/unitcode,operator,address,icao,iata}",10,TRUE,TRUE,TRUE,
Airstrip,Service,Airport,,Airstrip,maki,airfield,,,,"[""airfield"", ""air field"", ""landing field""]","[""airport"", ""airfield"", ""air field"", ""landing field""]","{airstrip,aeroway,aerodrome,""air field"",""landing field""}","{""aeroway"":""aerodrome"",""aerodrome"":""airstrip""}",x,,,,"{name,nps/unitcode,operator,address,icao,iata}",10,TRUE,TRUE,TRUE,
Landing Strip,Service,Airport,,,maki,airfield,,,,"[""landing spot"", ""plane landing""]","[""airport"", ""landing spot"", ""plane landing""]","{aeroway,aerodrome,""air field"",""landing strip"",""landing""}","{""aeroway"":""aerodrome"",""aerodrome"":""airstrip"",""surface"":""ground""}",x,,,,"{name,nps/unitcode,operator,address,icao,iata}",10,TRUE,TRUE,TRUE,
Seaplane Base,Service,Airport,sea-plane,,,,,,,"[""float landing"", ""float plane""]","[""airport"", ""float landing"", ""float plane""]",,"{""seamark:type"":""seaplane_landing_area""}",x,,,,"{name,nps/unitcode,operator,address,icao,iata}",10,TRUE,TRUE,TRUE,
ATM,Service,Bank,atm,ATM,,,,,,"[""automated teller machine"", ""cash"", ""cash dispenser""]","[""automated teller machine"", ""cash"", ""cash dispenser""]","{""atm"",""automated teller machine"",""cash dispenser""}","{""amenity"":""atm""}",x,,,,"{name,nps/unitcode,operator,fee}",40,TRUE,TRUE,TRUE,
Bus Stop / Shuttle Stop,Service,Bus,bus-stop,Bus stop/Shuttle stop,npmap-symbol-library,bus-stop-black,,,,"[""bus stop"", ""shuttle stop"", ""bus station""]","[""bus stop"", ""shuttle stop"", ""bus station""]","{""bus stop / shuttle stop"",""bus stop"",""shuttle stop"",""bus station""}","{""highway"":""bus_stop""}",x,,,,"{name,nps/unitcode,operator,address,public_transport,network,shelter,bench}",10,TRUE,TRUE,TRUE,
Amphitheater,Service,Entertainment,amphitheater,,npmap-symbol-library,amphitheater-black,,,,"[""theatre"", ""theater"", ""opera house"", ""performance"", ""play"", ""playhouse"", ""musical""]","[""theatre"", ""theater"", ""opera house"", ""performance"", ""play"", ""playhouse"", ""musical""]","{amphitheater,theatre,theater,""opera house"",playhouse,performance,play,musical}","{""amenity"":""theatre"",""theatre:type"":""amphi""}",x,,,,"{name,nps/unitcode,operator,address}",40,TRUE,TRUE,TRUE,
Cinema,Service,Entertainment,theater,,maki,cinema,,,,"[""movie"", ""movies"", ""movie theater"", ""film"", ""picture""]","[""movie"", ""theater"", ""movie theater"", ""film"", ""picture""]",,"{""amenity"":""cinema""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours,fee}",10,TRUE,TRUE,TRUE,
Entrance Station,Service,Entrance,entrance-station,,npmap-symbol-library,entrance-station-black,,An entrance station is an official entry point into a park.,"Add an entrance station by creating a point on top of the entrance and selecting ""Entrance Station"" from the ""Select feature type"" menu.","[""entrance"", ""entry"", ""exit"", ""portal""]","[""entrance"", ""entry"", ""exit"", ""portal""]","{""entrance station"",entrance,entry,gateway,portal}","{""barrier"":""entrance""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours}",10,TRUE,TRUE,TRUE,-7
Fee Booth,Service,Entrance,entrance-station,,,,,,,"[""fee"", ""toll"", ""toll booth""]","[""fee"", ""toll"", ""toll booth""]","{fee,toll,""fee booth"",""toll booth""}","{""barrier"":""toll_booth""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours}",10,TRUE,TRUE,TRUE,
Ferry Terminal,Service,Ferry,vehicle-ferry,Vehicle Ferry,maki,ferry,,,,"[""ferry"", ""terminal"", ""boat terminal""]","[""ferry"", ""terminal"", ""boat terminal""]","{""ferry terminal""}","{""amenity"":""ferry_terminal""}",x,,,,"{name,nps/unitcode,operator,address,cargo}",10,TRUE,TRUE,TRUE,
Food Service,Service,Food,food-service,Food service,npmap-symbol-library,food-service-black,,,,"[""cafe"", ""food"", ""food court"", ""restaurant"", ""snacks"", ""snack bar""]","[""cafe"", ""food"", ""food court"", ""restaurant"", ""snacks"", ""snack bar""]","{""food service"",""food court"",cafe,restaurant}","{""amenity"":""food_court""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours}",50,TRUE,TRUE,TRUE,12
Gas Station,Service,Fuel,gas-station,Gas station,npmap-symbol-library,gas-station-black,,,,"[""fuel"", ""fuel pump"", ""petrol station"", ""petrol"", ""propane"", ""diesel"", ""lng"", ""liquified natural gas"", ""cng"", ""compressed natural gas"", ""biodiesel""]","[""fuel"", ""fuel pump"", ""petrol station"", ""petrol"", ""propane"", ""diesel"", ""lng"", ""liquified natural gas"", ""cng"", ""compressed natural gas"", ""biodiesel""]","{""gas station"",fuel,""petrol station"",petrol,propane,diesel,lng,""liquified natural gas"",cng,""compressed natural gas"",biodiesel}","{""amenity"":""fuel""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours}",40,TRUE,TRUE,TRUE,16
Wi-Fi,Service,Internet,wi-fi,Wi-Fi,,,,,,"[""wifi"", ""internet"", ""online""]","[""wifi"", ""internet"", ""online""]","{wifi,internet,online}","{""wifi"":""*""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Laundry,Service,Laundry,laundry,,npmap-symbol-library,laundry-black,,,,"[""coin laundry"", ""coinwash"", ""laundry service"", ""launderette"", ""laundrette"", ""laundromat"", ""self-service laundry""]","[""coin laundry"", ""coinwash"", ""laundry service"", ""launderette"", ""laundrette"", ""laundromat"", ""self-service laundry""]",{laundry},"{""shop"":""laundry""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours}",10,TRUE,TRUE,TRUE,
Library,Service,Library,library,,maki,library,,,,"[""book""]","[""book""]",,"{""amenity"":""library""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours,fee}",10,TRUE,TRUE,TRUE,
Electric Vehicle Parking,Service,Parking,,Parking,,,,,,"[""electric"", ""electric car"", ""electric vehicle"", ""car charging"", ""charging"", ""parking lot"", ""vehicle charging""]","[""electric"",""parking"",""charging"",""car"",""vehicle""]","{""electric vehicle parking""}","{""amenity"":""parking"",""capacity:charging"":""*""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Parking Lot,Service,Parking,parking,,npmap-symbol-library,parking-black,,,,"[""parking"", ""lot"", ""car park"", ""car parking"", ""carpark"", ""vehicle parking""]","[""parking"", ""lot"", ""car park"", ""car parking"", ""carpark"", ""vehicle parking""]","{parking,""car parking"",""vehicle parking"",""parking lot"",""car park""}","{""amenity"":""parking""}",x,x,,,"{name,nps/unitcode,operator,address,capacity,maxstay,fee,nps/trailuse}",60,TRUE,TRUE,TRUE,-3
Roadside Pullout,Service,Parking,,,,,,,,"[""passing place"", ""pullout"", ""pull off"", ""pull-off"", ""roadside pull off"", ""roadside pull-off"", ""roadside turnout"", ""turnout""]","[""passing place"", ""pullout"", ""pull off"", ""pull-off"", ""roadside pull off"", ""roadside pull-off"", ""roadside turnout"", ""turnout""]","{""roadside pullout""}","{""highway"":""rest_area""}",x,,,,"{name,nps/unitcode,operator,address}",10,TRUE,TRUE,TRUE,
Mailbox,Service,Post,post-office,Post office,,,,,,"[""mail box"", ""mail drop"", ""postbox"", ""post box""]","[""mail box"", ""mail drop"", ""postbox"", ""post box""]",{mailbox},"{""amenity"":""post_box""}",x,x,,,"{name,nps/unitcode,operator}",10,TRUE,TRUE,TRUE,
Post Office,Service,Post,post-office,,npmap-symbol-library,post-office-black,,,,"[""letter"", ""mail"", ""mail office"", ""package"", ""parcel"", ""post""]","[""letter"", ""mail"", ""mail office"", ""package"", ""parcel"", ""post""]","{""post office"",""mail office"",post,mail,letter,parcel,package}","{""amenity"":""post_office""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours}",10,TRUE,TRUE,TRUE,
Metro Stop / Subway Entrance,Service,Rail,letter-m,Metro Station,maki,rail-metro,,,,"[""metro stop"", ""subway entrance"", ""subway exit""]","[""metro stop"", ""subway entrance"", ""subway exit""]","{""metro stop / subway entrance"",""metro stop"",""subway entrance"",""subway exit""}","{""railway"":""subway_entrance""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Train Station,Service,Rail,,,maki,rail,,,,"[""depot"", ""railroad station"", ""railway station"", ""station""]","[""depot"", ""railroad station"", ""railway station"", ""station""]","{""train station"",""railway station""}","{""building"":""train_station""}",x,,,,"{name,nps/unitcode,address,levels,smoking}",10,TRUE,TRUE,TRUE,
Bookstore,Service,Shopping,bookstore,,npmap-symbol-library,store-black,,,,"[""book"", ""reading"", ""shop"", ""shopping"", ""store""]","[""shop"", ""shopping"", ""store""]",,"{""shop"":""books""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours}",10,TRUE,TRUE,TRUE,14
Gift Shop,Service,Shopping,souvenir-shop,,npmap-symbol-library,store-black,,,,"[""gift"", ""shop"", ""shopping"", ""store""]","[""gift"", ""shop"", ""shopping""]",,"{""shop"":""gift""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours}",10,TRUE,TRUE,TRUE,15
Store,Service,Shopping,store,,npmap-symbol-library,store-black,,,,"[""shop"", ""shopping"", ""general store""]","[""shop"", ""shopping"", ""general store""]","{store,shop,""general store""}","{""shop"":""general""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours}",40,TRUE,TRUE,TRUE,13
Showers,Service,Showers,showers,Shower,npmap-symbol-library,showers-black,,,,"[""bath"", ""bathhouse"", ""bath house"", ""shower""]","[""bath"", ""bathhouse"", ""bath house"", ""shower""]","{showers,shower,bath}","{""amenity"":""shower""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours,fee,access}",10,TRUE,TRUE,TRUE,
Emergency Telephone,Service,Support,emergency-telephone,,npmap-symbol-library,telephone-black,,,,"[""emergency phone"", ""phone"", ""emergency""]","[""emergency phone"", ""phone"", ""emergency""]","{""emergency telephone"",""emergency phone"",phone,emergency}","{""emergency"":""phone""}",x,,,,"{name,nps/unitcode,operator,address}",10,TRUE,TRUE,TRUE,
Fire Hydrant,Service,Support,,,,,,,,"[""fire"", ""hydrant""]","[""fire"", ""hydrant""]",,"{""emergency"":""fire_hydrant""}",x,,,,"{name,nps/unitcode,operator}",10,TRUE,TRUE,TRUE,
